,Diag: Autism Spectrum Disorder,Diag: No Diagnosis Given,Diag: Oppositional Defiant Disorder,Diag: ADHD-Combined Type,Diag: Enuresis,Diag: ADHD-Inattentive Type,Diag: Generalized Anxiety Disorder,Diag: Language Disorder,Diag: Specific Learning Disorder with Impairment in Reading,Diag: Social Anxiety (Social Phobia),Diag: Specific Phobia,Diag: Specific Learning Disorder with Impairment in Mathematics
50,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
49,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
48,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
47,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
46,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
45,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
44,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
43,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
42,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
41,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
40,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
39,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
38,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
37,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
36,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
35,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
34,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
33,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
32,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
31,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6738","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
30,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
29,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
28,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
27,"0.7834,0.8007","0.8192,0.5247","0.5815,0.6787","0.552,0.6724","0.5662,0.5852","0.4167,0.7182","0.4481,0.6577","0.4964,0.5811","0.5806,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.708"
26,"0.7834,0.7934","0.8192,0.5247","0.5745,0.6787","0.552,0.6724","0.5662,0.5796","0.4167,0.7182","0.4481,0.6577","0.5036,0.5823","0.586,0.5095","0.6,0.4594","0.5109,0.5096","0.3409,0.6685"
25,"0.777,0.8007","0.8192,0.5247","0.6028,0.6667","0.552,0.6724","0.5662,0.5796","0.4167,0.7182","0.4481,0.6577","0.5109,0.5823","0.586,0.5082","0.6,0.4594","0.5109,0.5142","0.3409,0.7001"
24,"0.777,0.8007","0.8192,0.5247","0.6312,0.6331","0.552,0.6724","0.5662,0.5796","0.4167,0.7182","0.4481,0.6577","0.5255,0.5752","0.6183,0.4854","0.6,0.4594","0.5217,0.513","0.3296,0.6933"
23,"0.7961,0.7897","0.8192,0.5247","0.539,0.7038","0.552,0.6724","0.6506,0.4451","0.4167,0.7182","0.4481,0.6577","0.5255,0.58","0.5108,0.5488","0.6,0.4594","0.5435,0.5062","0.2955,0.7328"
22,"0.8025,0.7897","0.8192,0.5202","0.539,0.7026","0.552,0.6724","0.6506,0.4451","0.4167,0.7182","0.4481,0.6577","0.5255,0.5823","0.6344,0.4804","0.6,0.4594","0.5435,0.5108","0.3182,0.7305"
21,"0.8025,0.7873","0.8192,0.5202","0.5248,0.7146","0.552,0.6724","0.6626,0.4249","0.4167,0.7182","0.4481,0.6577","0.5255,0.5811","0.6505,0.4867","0.6,0.4594","0.5435,0.5108","0.3296,0.7227"
20,"0.8152,0.7726","0.8192,0.5202","0.6596,0.6487","0.552,0.6724","0.5542,0.602","0.4167,0.7182","0.513,0.5847","0.5182,0.5692","0.6398,0.4956","0.6,0.4594","0.5326,0.5198","0.3409,0.7012"
19,"0.8152,0.7726","0.8192,0.5291","0.6596,0.6463","0.552,0.6724","0.6385,0.4664","0.4167,0.7182","0.513,0.5822","0.5109,0.568","0.4624,0.6084","0.6,0.4594","0.5217,0.5289","0.3409,0.7046"
18,"0.8025,0.7861","0.8192,0.5291","0.6737,0.6367","0.552,0.6724","0.6506,0.4395","0.4167,0.7182","0.513,0.5822","0.5255,0.5692","0.457,0.6046","0.6,0.4594","0.5217,0.5311","0.2728,0.7328"
17,"0.8025,0.7873","0.8192,0.5291","0.6666,0.6391","0.552,0.6724","0.5542,0.6054","0.4167,0.7182","0.4805,0.6468","0.5255,0.5453","0.4516,0.6096","0.6,0.4594","0.4891,0.5719","0.3296,0.7193"
16,"0.777,0.8056","0.8192,0.5135","0.6737,0.6223","0.552,0.6724","0.5542,0.5852","0.4167,0.7182","0.487,0.6309","0.4964,0.5573","0.4516,0.6109","0.6,0.4594","0.4783,0.5832","0.3296,0.7204"
15,"0.7898,0.7799","0.8192,0.5022","0.6737,0.6235","0.552,0.6724","0.5422,0.5897","0.4167,0.7182","0.487,0.6309","0.4964,0.5668","0.4839,0.5881","0.6,0.4594","0.4457,0.6025","0.6704,0.4228"
14,"0.8152,0.7567","0.8192,0.5","0.6241,0.6487","0.552,0.6724","0.5422,0.5729","0.4167,0.7182","0.5065,0.6139","0.4745,0.5764","0.5161,0.5729","0.6,0.4594","0.5217,0.5323","0.3409,0.7159"
13,"0.8089,0.7677","0.8192,0.4966","0.617,0.6583","0.552,0.6724","0.5422,0.5762","0.4167,0.7182","0.4351,0.6797","0.4672,0.6169","0.4946,0.583","0.6,0.4594","0.5217,0.5334","0.6818,0.407"
12,"0.8089,0.7714","0.8433,0.4933","0.6596,0.6415","0.552,0.6724","0.5181,0.5852","0.4529,0.6938","0.4351,0.6784","0.438,0.6694","0.5591,0.5387","0.6,0.4594","0.5326,0.5221","0.6818,0.407"
11,"0.7961,0.7848","0.8433,0.5045","0.6808,0.6379","0.552,0.6724","0.5181,0.5673","0.4529,0.6938","0.4351,0.6784","0.4745,0.6599","0.543,0.5425","0.6,0.4594","0.4239,0.6387","0.7045,0.389"
10,"0.7834,0.7946","0.8553,0.4664","0.6525,0.6223","0.552,0.6724","0.5181,0.574","0.4529,0.6967","0.4805,0.6236","0.365,0.7255","0.4839,0.6008","0.6,0.4594","0.4131,0.6682","0.6818,0.3923"
9,"0.7516,0.8056","0.8674,0.4798","0.6525,0.6271","0.5627,0.6595","0.5181,0.5785","0.4529,0.6967","0.4935,0.6224","0.3431,0.7112","0.5054,0.5589","0.62,0.4331","0.4674,0.5821","0.2614,0.7756"
8,"0.7516,0.7958","0.8674,0.4451","0.6596,0.6235","0.5627,0.6595","0.5181,0.6076","0.4529,0.711","0.4546,0.6504","0.3139,0.7279","0.4839,0.5589","0.61,0.4343","0.4131,0.6206","0.3637,0.7148"
7,"0.7325,0.8032","0.8674,0.4608","0.6312,0.6595","0.5627,0.6595","0.5422,0.5392","0.4529,0.711","0.4546,0.6541","0.3577,0.722","0.4839,0.5577","0.61,0.4343","0.4674,0.5764","0.4318,0.6561"
6,"0.7133,0.8166","0.8674,0.4552","0.6596,0.6247","0.5412,0.6796","0.5181,0.5381","0.4348,0.7225","0.4805,0.609","0.708,0.321","0.4677,0.5855","0.67,0.4057","0.4674,0.5866","0.4546,0.6618"
5,"0.8216,0.7298","0.8674,0.4585","0.7021,0.5911","0.5412,0.6796","0.5301,0.62","0.4348,0.7225","0.4286,0.6906","0.2993,0.8246","0.4946,0.5589","0.64,0.4274","0.3044,0.7724","0.4432,0.664"
4,"0.7325,0.7604","0.7469,0.6099","0.7446,0.5348","0.5842,0.6465","0.494,0.639","0.4312,0.731","0.7792,0.2728","0.8029,0.2566","0.6344,0.4626","0.71,0.3371","0.4348,0.6557","0.4659,0.6392"
3,"0.6688,0.8313","0.7469,0.5975","0.7376,0.5504","0.5735,0.6566","0.494,0.7085","0.3913,0.7439","0.2078,0.8636","0.2847,0.8162","0.672,0.4145","0.28,0.7954","0.3587,0.7191","0.375,0.7103"
2,"0.7579,0.7066","0.7469,0.5717","0.5815,0.6619","0.5663,0.6695","0.3253,0.8049","0.337,0.7754","0.2338,0.838","0.2774,0.8138","0.6828,0.3967","0.34,0.7417","0.3587,0.7373","0.4205,0.6358"
1,"0.6879,0.8178","0.8192,0.491","0.3617,0.8201","0.4695,0.7313","0.2169,0.8901","0.7427,0.309","0.2338,0.838","0.3358,0.7649","0.8548,0.2205","0.41,0.6777","0.2066,0.838","0.5,0.5355"
